Event ID,Match ID,Alliance Color,Team 1,Team 2,Team 3,Overall Score,Overall Difference,Auto Score,Auto Difference,Hangar Score,Hangar Difference,Penalty Score,Penalty Difference,Result
2022flwp,2022flwp_qm53,blue,frc744,frc8754,frc5410,26,13,10,6,12,6,4,4,Win
2022flwp,2022flwp_qm53,red,frc1744,frc7403,frc59,13,-13,4,-6,6,-6,0,-4,Loss
2022flwp,2022flwp_qm54,blue,frc2168,frc2190,frc4481,94,55,24,8,21,3,0,0,Win
2022flwp,2022flwp_qm54,red,frc3627,frc2641,frc2183,39,-55,16,-8,18,-3,0,0,Loss
2022flwp,2022flwp_qm55,blue,frc8324,frc108,frc8817,30,24,10,4,0,0,0,0,Win
2022flwp,2022flwp_qm55,red,frc348,frc3164,frc7833,6,-24,6,-4,0,0,0,0,Loss
2022flwp,2022flwp_qm56,blue,frc7403,frc4206,frc4592,59,22,18,6,6,-10,0,-4,Win
2022flwp,2022flwp_qm56,red,frc4707,frc3932,frc744,37,-22,12,-6,16,10,4,4,Loss
2022flwp,2022flwp_qm57,blue,frc2641,frc5410,frc6686,38,-25,10,-14,12,-3,16,16,Loss
2022flwp,2022flwp_qm57,red,frc4471,frc2183,frc2168,63,25,24,14,15,3,0,-16,Win
2022flwp,2022flwp_qm58,blue,frc59,frc2383,frc7833,36,-37,8,-14,6,-9,4,-4,Loss
2022flwp,2022flwp_qm58,red,frc7652,frc179,frc8324,73,37,22,14,15,9,8,4,Win
2022flwp,2022flwp_qm59,blue,frc1592,frc21,frc4481,44,19,12,-2,16,16,0,0,Win
2022flwp,2022flwp_qm59,red,frc8817,frc3627,frc8754,25,-19,14,2,0,-16,0,0,Loss
2022flwp,2022flwp_qm6,blue,frc2383,frc7403,frc2183,37,23,10,8,6,0,4,0,Win
2022flwp,2022flwp_qm6,red,frc1523,frc1744,frc1592,14,-23,2,-8,6,0,4,0,Loss
2022flwp,2022flwp_qm60,blue,frc108,frc5472,frc348,55,25,18,10,12,6,8,8,Win
2022flwp,2022flwp_qm60,red,frc3164,frc2190,frc1744,30,-25,8,-10,6,-6,0,-8,Loss
2022flwp,2022flwp_qm61,blue,frc5842,frc1523,frc2168,54,35,14,2,21,21,0,-4,Win
2022flwp,2022flwp_qm61,red,frc7442,frc7652,frc7403,19,-35,12,-2,0,-21,4,4,Loss
2022flwp,2022flwp_qm62,blue,frc4707,frc4471,frc2383,46,7,14,0,10,-6,0,0,Win
2022flwp,2022flwp_qm62,red,frc2641,frc3932,frc59,39,-7,14,0,16,6,0,0,Loss
2022flwp,2022flwp_qm63,blue,frc8754,frc8324,frc3164,46,-40,8,-8,12,-9,24,20,Loss
2022flwp,2022flwp_qm63,red,frc179,frc4481,frc1744,86,40,16,8,21,9,4,-20,Win
2022flwp,2022flwp_qm64,blue,frc21,frc1523,frc348,22,-23,4,-4,10,-8,0,0,Loss
2022flwp,2022flwp_qm64,red,frc5410,frc2183,frc108,45,23,8,4,18,8,0,0,Win
2022flwp,2022flwp_qm65,blue,frc5472,frc3627,frc1592,34,-5,10,-6,6,0,12,12,Loss
2022flwp,2022flwp_qm65,red,frc4206,frc2190,frc744,39,5,16,6,6,0,0,-12,Win
2022flwp,2022flwp_qm66,blue,frc4592,frc7833,frc6686,10,-24,6,-10,0,-6,4,0,Loss
2022flwp,2022flwp_qm66,red,frc7442,frc5842,frc8817,34,24,16,10,6,6,4,0,Win
2022flwp,2022flwp_qm7,blue,frc2641,frc4206,frc3164,47,43,6,2,6,6,4,4,Win
2022flwp,2022flwp_qm7,red,frc5842,frc4707,frc8324,4,-43,4,-2,0,-6,0,-4,Loss
2022flwp,2022flwp_qm8,blue,frc6686,frc59,frc2190,22,-13,4,-6,6,0,0,0,Loss
2022flwp,2022flwp_qm8,red,frc4481,frc4592,frc7652,35,13,10,6,6,0,0,0,Win
2022flwp,2022flwp_qm9,blue,frc3932,frc1592,frc8754,24,-6,4,-10,10,-2,4,4,Loss
2022flwp,2022flwp_qm9,red,frc5472,frc21,frc7442,30,6,14,10,12,2,0,-4,Win
